file_name,url,path,status,bytes,error
AF-P00533-F1-model_v6.cif,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-model_v6.cif,/Volumes/deaneu01/egfr_pacc_digital_cell/data/raw/alphafold/AF-P00533-F1-model_v6.cif,exists,1127973,
AF-P00533-F1-model_v6.pdb,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-model_v6.pdb,/Volumes/deaneu01/egfr_pacc_digital_cell/data/raw/alphafold/AF-P00533-F1-model_v6.pdb,exists,772334,
AF-P00533-F1-confidence_v6.json,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-confidence_v6.json,/Volumes/deaneu01/egfr_pacc_digital_cell/data/raw/alphafold/AF-P00533-F1-confidence_v6.json,exists,16994,
AF-P00533-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P00533-F1-predicted_aligned_error_v6.json,/Volumes/deaneu01/egfr_pacc_digital_cell/data/raw/alphafold/AF-P00533-F1-predicted_aligned_error_v6.json,exists,4160690,
